order_id,lens_type,lens_index,sph_power,coating,in_house_stock,qc_failures,actual_tat_days,sla_days,sla_breached
1,Single Vision,1.5,-3.5,None,False,0,2.35922539938815,3.0,False
2,Progressive,1.5,0.75,Blue Light + Anti-Reflective,False,0,5.374503867381333,5.0,True
3,Progressive,1.5,3.0,Anti-Reflective,False,0,3.59078396232756,5.0,False
4,Single Vision,1.6,-4.75,Blue Light,False,0,2.277211594993962,3.0,False
5,Single Vision,1.6,4.25,None,False,0,2.7480097771966436,3.0,False
6,Single Vision,1.67,-1.5,Blue Light,False,0,2.8591217519022183,3.0,False
7,Single Vision,1.5,-4.0,None,False,0,2.0902747884549346,3.0,False
8,Progressive,1.6,1.25,Anti-Reflective,False,0,3.3461785329199722,5.0,False
9,Single Vision,1.67,-2.25,Anti-Reflective,False,0,1.1025516756217493,3.0,False
10,Progressive,1.67,-1.25,Anti-Reflective,True,0,1.4132339317098552,5.0,False
11,Single Vision,1.67,-2.25,Blue Light + Anti-Reflective,False,0,2.171264472164447,3.0,False
12,Progressive,1.67,-3.5,Blue Light + Anti-Reflective,False,0,6.064064285006811,5.0,True
13,Progressive,1.74,1.25,Blue Light + Anti-Reflective,False,0,6.141322832299838,5.0,True
14,Single Vision,1.5,-1.75,Blue Light,False,0,2.489257956118848,3.0,False
15,Single Vision,1.6,-5.25,Blue Light + Anti-Reflective,True,0,1.2731717029458716,3.0,False
16,Single Vision,1.5,0.75,None,True,0,1.1933276803826647,3.0,False
17,Single Vision,1.5,-4.5,Anti-Reflective,False,1,3.0501613755016317,3.0,True
18,Single Vision,1.5,-4.5,Blue Light,False,0,2.519739542520276,3.0,False
19,Single Vision,1.5,2.5,Blue Light,True,0,0.7113497802511457,3.0,False
20,Single Vision,1.5,-4.5,Blue Light + Anti-Reflective,False,0,2.4838732023392422,3.0,False
21,Single Vision,1.5,-8.0,None,False,0,1.8036726087888908,3.0,False
22,Single Vision,1.5,0.75,Anti-Reflective,False,0,2.2947145785745704,3.0,False
23,Single Vision,1.74,-2.0,Blue Light,False,0,2.8818060717610323,3.0,False
24,Single Vision,1.5,-1.75,Anti-Reflective,False,0,2.330286444561776,3.0,False
25,Single Vision,1.67,-2.0,None,True,0,1.7081748945063011,3.0,False
26,Progressive,1.5,-0.25,Anti-Reflective,False,0,3.814283054640661,5.0,False
